time[s], wr_x[mm], wr_y[mm] 
0.0003,NaN,NaN
0.0262,NaN,NaN
0.0430,NaN,NaN
0.1434,NaN,NaN
0.2424,NaN,NaN
0.3419,1938.8871,1336.6321
0.4421,1923.9378,1328.3107
0.5417,1908.5840,1319.9485
0.6418,1893.5584,1311.4963
0.7417,1879.0407,1303.3961
0.8417,1865.0544,1295.8389
0.9418,1850.3922,1287.2568
1.0416,1834.9965,1278.8840
1.1418,1819.6691,1270.1223
1.2432,1804.5866,1261.7542
1.3426,1789.7749,1253.5990
1.4417,1774.2861,1244.9437
1.5439,1759.5361,1236.5590
1.6421,1744.3135,1228.3633
1.7428,1728.6647,1220.0728
1.8416,1713.4402,1211.6423
1.9419,1698.8477,1203.7164
2.0416,1683.9170,1195.7701
2.1423,1668.9940,1187.3064
2.2415,1653.5615,1178.8940
2.3416,1638.3531,1170.2410
2.4416,1623.3325,1162.0768
2.5416,1608.5349,1153.9640
2.6416,1593.1921,1145.6241
2.7417,1578.2224,1137.3126
2.8417,1563.9942,1129.5995
2.9434,1548.2897,1121.5795
3.0429,1533.0400,1113.3156
3.1423,1518.5105,1105.5490
3.2415,1503.6462,1097.6010
3.3419,1488.7975,1089.2222
3.4416,1473.6106,1081.0112
3.5427,1458.4897,1072.6488
3.6415,1443.4454,1064.5370
3.7417,1428.5779,1056.5941
3.8415,1413.1218,1048.4560
3.9419,1398.1901,1040.2992
4.0435,1383.0479,1032.4658
4.1424,1367.4290,1024.5786
4.2416,1351.6351,1016.2906
4.3437,1336.5396,1008.3535
4.4417,1321.1768,1000.4326
4.5416,1305.7716,992.3016
4.6432,1289.8954,984.1455
4.7430,1273.9860,975.6574
4.8424,1258.4069,967.5895
4.9422,1243.1737,959.7098
5.0415,1227.3293,951.4756
5.1416,1212.3427,943.3394
5.2416,1197.2151,935.5467
5.3415,1181.4879,927.4254
5.4418,1166.0129,919.2836
5.5418,1151.0637,911.4297
5.6415,1135.7179,903.4812
5.7436,1120.7374,895.6091
5.8432,1105.1454,887.4488
5.9428,1089.7097,879.2185
6.0417,1074.2400,871.1575
6.1426,1059.1061,863.0327
6.2416,1043.3472,854.8101
6.3417,1028.5426,846.9308
6.4416,1013.2213,839.2469
6.5437,997.2336,831.3983
6.6431,981.6182,823.5687
6.7418,966.5124,815.8077
6.8415,951.2880,808.0094
6.9418,936.1312,800.3668
7.0415,920.4736,792.5207
7.1436,904.9581,784.5017
7.2431,889.4960,776.7270
7.3426,874.3293,768.9893
7.4423,858.9003,761.2303
7.5418,844.0314,753.5399
7.6415,828.8328,745.8429
7.7418,813.0114,737.9321
7.8426,797.5812,730.1680
7.9416,782.6624,722.5729
8.0416,767.6649,714.9242
8.1423,752.8038,707.3144
8.2416,737.2153,699.4469
8.3417,721.7976,691.6187
8.4416,706.4352,683.8978
8.5418,691.3765,676.2057
8.6418,676.0795,668.7085
8.7417,661.3525,661.0664
8.8418,646.0767,653.5302
8.9416,630.2156,645.8272
9.0416,614.7341,638.1417
9.1427,599.9693,630.9167
9.2415,584.9335,623.4344
9.3415,570.2510,616.0169
9.4418,554.7477,608.3651
9.5416,539.4066,600.5989
9.6417,524.3368,593.1500
9.7420,509.2990,585.7017
9.8416,493.6522,578.2265
9.9416,478.2318,570.6265
10.0416,462.6324,563.1372
10.1425,446.7413,555.7050
10.2415,430.8782,548.0840
10.3416,415.7480,540.7700
10.4417,400.1848,533.1371
10.5417,384.8385,525.5544
10.6434,369.1323,518.0441
10.7418,353.2655,510.2024
10.8416,337.9587,502.7328
10.9419,322.7646,495.2870
11.0416,307.1566,487.7339
11.1419,291.9104,480.1606
11.2418,276.7737,472.7070
11.3417,261.0776,465.2726
11.4415,245.6842,457.9654
11.5418,230.7194,450.6269
11.6414,215.4965,443.1693
11.7418,200.5075,435.7401
11.8416,184.7934,428.1607
11.9417,168.8943,420.5617
12.0415,153.3431,412.9145
12.1429,137.8170,405.3459
12.2421,121.7877,397.8216
12.3418,106.3270,390.4230
12.4417,90.7344,383.1293
12.5416,74.6830,375.7866
12.6439,58.8392,368.4493
12.7429,43.3737,361.0237
12.8425,27.7902,353.6649
12.9418,12.5012,346.3156
13.0414,-3.4493,338.8069
13.1418,-19.4568,331.3414
13.2415,-35.0825,324.0193
13.3418,-50.9750,316.6169
13.4434,-67.1040,309.2597
13.5430,-82.5321,301.9271
13.6417,-97.9596,294.8665
13.7416,-113.9387,287.6572
13.8418,-129.6170,280.7187
13.9416,-144.8674,273.7242
14.0415,-160.4241,266.4676
14.1415,-175.4409,259.5144
14.2415,-191.0268,252.2684
14.3417,-206.9530,244.9116
14.4419,-222.2373,237.7986
14.5416,-237.7145,230.5196
14.6418,-253.5598,223.4857
14.7418,-268.9552,216.3975
14.8415,-284.3611,209.5459
14.9416,-300.5061,202.7923
15.0421,-316.4705,195.8813
15.1417,-331.8168,189.1006
15.2416,-347.4902,182.0472
15.3417,-362.9317,175.1310
15.4421,-378.6480,168.4412
15.5415,-394.8651,161.2515
15.6420,-410.4874,154.3315
15.7416,-425.9603,147.2941
15.8415,-440.8603,141.1110
15.9418,-455.4402,134.8779
16.0415,-470.2536,128.2557
16.1416,-484.8596,121.8841
16.2415,-500.1593,115.2580
16.3415,-515.2980,108.5683
16.4417,-530.5573,101.9219
16.5416,-546.0256,95.2315
16.6415,-561.6893,88.5897
16.7415,-578.2969,81.5816
16.8414,-594.4936,74.7582
16.9416,-610.8883,67.8543
17.0435,-627.3184,60.9579
17.1430,-643.6141,54.4834
17.2425,-659.7519,47.8704
17.3416,-675.6275,41.5627
17.4414,-691.0150,35.2930
17.5418,-706.6008,28.8016
17.6419,-722.0201,22.4751
17.7417,-737.3549,15.9094
17.8414,-752.7380,9.4895
17.9416,-768.9261,2.7714
18.0415,-784.5812,-3.7760
18.1418,-800.2551,-10.2870
18.2414,-815.9306,-16.8375
18.3416,-831.5418,-23.0158
18.4428,-847.3162,-29.7239
18.5430,-863.2956,-36.1950
18.6420,-879.3343,-42.4561
18.7416,-895.1151,-48.9281
18.8434,-910.8698,-55.5619
18.9419,-926.6226,-62.1550
19.0414,-942.2313,-68.4843
19.1418,-958.7852,-75.0611
19.2413,-974.9309,-81.5656
19.3416,-990.9714,-88.0370
19.4414,-1006.8138,-94.5568
19.5415,-1023.0672,-100.8564
19.6413,-1039.1227,-107.2903
19.7417,-1055.2076,-113.7509
19.8432,-1071.2740,-119.8480
19.9416,-1087.1047,-126.1065
20.0415,-1104.0323,-132.4133
