time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0003,-1231.5407,1.1557,204.0494,-0.1123
0.7451,-1231.5757,1.1538,204.0253,-0.1277
0.8986,-1231.5935,1.1568,204.0610,-0.1253
1.0539,-1231.5727,1.1491,204.0333,-0.1126
1.0919,-1231.5540,1.1740,203.9780,-0.1245
1.1816,-1231.5759,1.1476,204.0111,-0.1119
1.2553,-1231.5667,1.1467,203.9954,-0.1515
1.3555,-1231.5951,1.1813,204.0183,-0.1702
1.4565,-1231.5905,1.1754,204.0750,-0.1810
1.5579,-1231.6064,1.1637,204.0284,-0.1215
1.6567,-1231.6188,1.1673,204.0045,-0.1231
1.7564,-1231.5748,1.1937,204.0483,-0.1751
1.8567,-1231.6199,1.1778,203.9900,-0.1037
1.9588,-1231.5914,1.1578,204.0630,-0.1249
2.0581,-1231.5765,1.1644,204.0278,-0.1369
2.1579,-1231.5558,1.1710,204.0411,-0.1355
2.2567,-1231.5507,1.1672,204.0210,-0.0920
2.3572,-1231.5890,1.1878,204.0244,-0.1172
2.4593,-1231.5710,1.1699,204.0273,-0.1315
2.5582,-1231.5748,1.1672,204.0485,-0.1339
2.6597,-1231.5793,1.1670,204.0551,-0.1206
2.7578,-1231.5600,1.1928,203.9865,-0.1159
2.8582,-1231.5630,1.2114,203.9608,-0.1065
2.9577,-1231.5638,1.1817,203.9943,-0.1139
3.0670,-1231.5820,1.1755,203.9796,-0.1264
3.1696,-1231.6290,1.1569,204.0138,-0.0958
3.2587,-1231.6143,1.1757,204.0522,-0.1480
3.3657,-1231.5562,1.1592,204.0148,-0.1427
3.4868,-1231.5670,1.1482,204.0513,-0.1116
3.5617,-1231.5250,1.1839,204.0242,-0.1175
3.6622,-1231.5540,1.1542,204.0557,-0.1276
3.7593,-1231.5771,1.1401,204.0370,-0.0856
3.9007,-1231.5669,1.1724,204.0208,-0.1224
3.9629,-1231.5901,1.1950,204.0872,-0.1337
4.0630,-1231.5944,1.1436,204.0869,-0.1542
4.1628,-1231.6244,1.1399,204.0647,-0.1064
4.2607,-1231.6274,1.1629,204.0504,-0.1322
4.3606,-1231.6028,1.1861,204.0186,-0.1469
4.4611,-1231.6096,1.1526,204.0267,-0.1108
4.5635,-1231.5675,1.1519,203.9924,-0.0961
4.6642,-1231.5814,1.1772,204.0363,-0.1243
4.7636,-1231.5760,1.1464,204.0505,-0.1144
4.8633,-1231.6049,1.1614,204.0605,-0.0982
4.9646,-1231.5817,1.1739,204.0315,-0.1155
5.0653,-1231.6082,1.1621,204.0436,-0.1053
5.1692,-1231.6014,1.1534,204.0049,-0.1163
5.2645,-1231.5718,1.1529,204.0048,-0.1145
5.3639,-1231.5215,1.1688,203.9739,-0.1416
5.4641,-1231.5838,1.1646,204.0323,-0.1429
5.5627,-1231.5900,1.1552,204.0276,-0.1551
5.6664,-1231.6156,1.1515,204.0249,-0.1497
5.7659,-1231.5897,1.1534,204.0737,-0.1126
5.8645,-1231.5571,1.1737,204.0333,-0.1614
5.9648,-1231.6156,1.1665,204.0947,-0.1436
6.0655,-1231.5856,1.1999,204.0151,-0.1356
6.1673,-1231.5748,1.2119,204.0037,-0.1096
6.2663,-1231.6156,1.1721,204.0771,-0.1003
6.3658,-1231.6189,1.1949,204.0327,-0.1193
6.4661,-1231.6471,1.1751,204.0276,-0.1249
6.5664,-1231.6083,1.1665,203.9917,-0.1132
6.6681,-1231.5848,1.1689,203.9661,-0.1524
6.7675,-1231.6259,1.1530,203.9989,-0.1205
6.8758,-1231.5277,1.1778,203.9858,-0.1548
6.9685,-1231.5738,1.1154,204.0114,-0.1236
7.0719,-1231.5452,1.1201,204.0001,-0.1259
7.1722,-1231.5633,1.1749,204.0358,-0.1083
7.2682,-1231.5004,1.1792,203.9767,-0.1333
7.3693,-1231.5864,1.1539,204.0651,-0.1205
7.4686,-1231.5534,1.1908,204.0370,-0.0962
7.5689,-1231.5211,1.1423,204.0225,-0.1442
7.6691,-1231.5946,1.1573,204.0327,-0.1467
7.7689,-1231.5727,1.1711,204.0419,-0.1338
7.8695,-1231.5627,1.1719,204.0037,-0.1312
7.9704,-1231.6197,1.1278,204.0719,-0.1452
8.0711,-1231.5859,1.1437,203.9856,-0.1498
8.1718,-1231.6181,1.1445,204.0148,-0.1284
8.2713,-1231.6118,1.1468,204.0284,-0.1334
8.3706,-1231.5343,1.1679,203.9912,-0.1353
8.4698,-1231.5662,1.1481,204.0792,-0.1112
8.5719,-1231.5842,1.1555,204.0923,-0.0957
8.6722,-1231.5129,1.2029,204.0254,-0.1226
8.7705,-1231.5384,1.1846,204.0304,-0.1411
8.8717,-1231.5450,1.1810,204.0009,-0.1272
8.9717,-1231.5516,1.1859,203.9727,-0.1241
9.0728,-1231.6545,1.1200,204.0594,-0.1300
9.1732,-1231.5912,1.1356,204.0010,-0.1388
9.2730,-1231.5498,1.1975,203.9695,-0.1426
9.3732,-1231.5367,1.1773,203.9674,-0.1337
9.4736,-1231.6013,1.1610,204.0673,-0.1441
9.5728,-1231.5281,1.1476,203.9758,-0.1210
9.6728,-1231.5562,1.1734,204.0106,-0.1364
9.7728,-1231.5558,1.1758,204.0303,-0.1230
9.8787,-1231.5738,1.1565,204.0216,-0.1287
