time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0004,-1198.6809,-29.8957,204.9712,6.1294
1.9157,-1198.8013,-29.8449,205.0625,6.0965
2.0562,-1198.5413,-27.5050,202.5038,-31.9614
2.2260,-1196.7819,-23.6514,190.2749,-75.6090
2.2652,-1194.7631,-19.8349,180.4961,-96.5494
2.3226,-1189.6414,-21.4691,178.1715,-100.4826
2.3736,-1181.1547,-26.3322,177.8177,-101.1810
2.4840,-1172.4191,-31.4786,177.6746,-101.5289
2.5759,-1163.7711,-36.7895,177.6000,-101.6843
2.6768,-1154.9139,-42.1622,177.1956,-102.3792
2.7752,-1146.6298,-46.7683,177.0225,-102.9396
2.8753,-1137.8428,-51.6833,176.5698,-103.5086
2.9760,-1128.4958,-57.4367,177.9269,-105.4629
3.0763,-1118.6579,-61.9948,173.6193,-104.5431
3.1776,-1110.6676,-66.6878,172.9028,-104.5569
3.2768,-1102.5791,-71.7262,172.6061,-104.9608
3.3768,-1093.9271,-77.1353,172.4034,-105.4672
3.4783,-1085.3794,-82.4675,172.1376,-105.7937
3.5782,-1076.8653,-87.8152,171.9462,-106.1184
3.6806,-1068.3951,-93.0091,171.6355,-106.5355
3.7775,-1059.8723,-98.1890,171.2870,-107.1766
3.8782,-1051.6909,-103.1247,171.1285,-107.4624
3.9780,-1043.5916,-108.3115,170.8891,-107.8284
4.0785,-1035.1542,-113.5520,170.6909,-108.2884
4.1796,-1026.6390,-118.8281,170.5491,-108.4733
4.2823,-1018.0460,-124.2886,170.3939,-108.7187
4.3797,-1009.8256,-129.5859,170.1769,-109.0951
4.4797,-1001.4365,-134.7030,169.8840,-109.5768
4.5794,-993.2233,-140.1708,169.8357,-109.6930
4.6812,-984.2888,-146.1066,168.5775,-108.8782
4.7801,-976.3008,-151.1116,169.2192,-110.0217
4.8807,-968.2288,-156.2228,168.9347,-110.7867
4.9828,-959.5307,-161.5827,168.6783,-111.2086
5.0835,-950.6590,-167.2449,168.4927,-111.4745
5.1824,-942.3512,-172.7747,168.2446,-111.8329
5.2837,-934.1682,-178.0274,168.1523,-112.0281
5.3825,-926.0615,-183.4765,167.9290,-112.5748
5.4830,-917.5395,-189.1545,167.7524,-112.7980
5.5840,-909.3821,-194.8359,167.6423,-113.0011
5.6827,-901.1330,-200.5542,167.4250,-113.4010
5.7825,-892.7063,-206.1748,167.2296,-113.5787
5.8824,-884.3744,-211.8041,167.1257,-113.8669
5.9827,-876.1570,-217.3097,166.8298,-114.2923
6.0834,-867.8884,-222.7972,166.5129,-114.6909
6.1841,-859.7743,-228.0939,166.2864,-115.0710
6.2873,-851.5497,-233.6121,166.0693,-115.4305
6.3856,-843.5696,-239.1000,166.4606,-114.9470
6.4898,-843.4040,-241.7048,173.7618,-103.3985
6.5872,-843.7230,-243.8447,179.2632,-93.6232
6.6837,-837.2180,-247.2212,178.5043,-95.1050
6.7844,-827.7078,-252.2148,178.1348,-95.7225
6.8846,-818.8172,-256.9174,177.7872,-96.3784
6.9850,-810.1688,-261.7517,177.5918,-96.8595
7.0847,-801.4700,-266.5838,177.3102,-97.2970
7.1864,-793.0225,-271.1866,177.1250,-97.7984
7.2873,-784.2621,-275.8041,176.8026,-98.3122
7.3877,-775.4341,-280.5791,176.5671,-98.6731
7.4873,-766.5635,-285.4464,176.1636,-99.2839
7.5869,-758.1314,-290.0758,175.9232,-99.8149
7.6867,-749.9220,-294.8377,175.6454,-100.3213
7.7866,-741.5536,-299.7533,175.4428,-100.7027
7.8868,-733.0694,-304.6352,175.2051,-101.0553
7.9875,-724.7079,-309.6002,175.0538,-101.2841
8.0876,-716.0986,-314.6428,174.9561,-101.4722
8.1888,-707.4089,-319.5756,174.7034,-102.0500
8.2876,-698.9731,-324.4213,174.3876,-102.5424
8.3877,-690.6739,-329.2339,174.1614,-102.9112
8.4888,-682.1761,-334.2364,174.0356,-103.1238
8.5902,-673.5278,-339.4204,174.3638,-102.6093
8.6902,-672.3525,-341.8627,180.2863,-91.6965
8.7910,-672.2764,-343.9471,184.8252,-82.3403
8.8898,-665.4391,-347.1050,183.9059,-84.3253
8.9897,-655.9682,-351.4862,183.6679,-84.6702
9.0899,-646.7841,-355.6730,183.4440,-85.1806
9.1902,-637.6866,-359.8785,183.2598,-85.5963
9.2902,-628.7953,-364.0247,182.9265,-86.1431
9.3900,-620.0128,-367.9760,182.7782,-86.7307
9.4932,-611.4215,-372.0569,182.6761,-86.9776
