time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0001,-1439.1328,-136.7643,201.5299,-1.7616
1.8368,-1439.1232,-136.7658,201.5491,-1.7646
1.9661,-1439.1315,-136.7607,201.5325,-1.7543
2.1189,-1439.1385,-136.7548,201.5267,-1.7528
2.1586,-1439.1624,-136.7584,201.5503,-1.7676
2.2462,-1439.1566,-136.7586,201.5142,-1.7589
2.3110,-1439.1796,-136.7583,201.4917,-1.7252
2.4115,-1439.1740,-136.7626,201.4767,-1.7805
2.5112,-1439.1431,-136.7290,201.4832,-1.7377
2.6145,-1439.1844,-136.7564,201.5300,-1.7621
2.7120,-1439.1602,-136.7510,201.4833,-1.7452
2.8117,-1439.1537,-136.7247,201.5096,-1.7381
2.9147,-1439.1787,-136.7561,201.5020,-1.7744
3.0129,-1439.1670,-136.7490,201.5254,-1.7602
3.1131,-1439.1608,-136.7474,201.4956,-1.7835
3.2133,-1439.1304,-136.7294,201.5405,-1.7590
3.3130,-1439.1518,-136.7464,201.5399,-1.7666
3.4136,-1439.1689,-136.7463,201.4634,-1.7929
3.5137,-1439.1026,-136.7434,201.4818,-1.7740
3.6155,-1439.1204,-136.7607,201.5123,-1.7809
3.7140,-1439.1421,-136.7657,201.5195,-1.7745
3.8160,-1439.1175,-136.7530,201.5607,-1.7389
3.9146,-1439.1552,-136.7557,201.5068,-1.8000
4.0155,-1439.1661,-136.7570,201.5510,-1.7748
4.1183,-1439.1132,-136.7434,201.4845,-1.7728
4.2149,-1439.1503,-136.7542,201.5486,-1.8059
4.3146,-1439.1541,-136.7400,201.5486,-1.7558
4.4149,-1439.1696,-136.7369,201.4674,-1.7976
4.5153,-1439.1564,-136.7381,201.4723,-1.7445
4.6187,-1439.1653,-136.7307,201.5103,-1.7487
4.7155,-1439.1321,-136.7092,201.4209,-1.7830
4.8163,-1439.1625,-136.7397,201.5159,-1.7666
4.9170,-1439.2078,-136.7402,201.5396,-1.7806
5.0171,-1439.1264,-136.7312,201.4581,-1.7484
5.1185,-1439.1512,-136.7384,201.4956,-1.7586
5.2178,-1439.1442,-136.7453,201.4888,-1.7488
5.3185,-1439.1434,-136.7377,201.5594,-1.7980
5.4185,-1437.4583,-136.7634,201.4548,-1.4433
5.5189,-1434.4112,-136.7990,201.5001,-1.4238
5.6190,-1426.7762,-137.0753,201.4580,-2.0241
5.7197,-1418.6990,-137.0213,201.5619,-2.5754
5.8189,-1410.8556,-137.0373,201.4077,-3.0213
5.9185,-1403.0070,-137.0184,201.3823,-3.2404
6.0191,-1394.8805,-137.0348,201.4307,-3.6857
6.1211,-1386.7987,-137.1465,201.3857,-3.7845
6.2193,-1378.6672,-137.2950,201.3479,-3.9071
6.3190,-1370.4949,-137.3700,201.3044,-4.4931
6.4216,-1362.2600,-137.5026,201.3416,-4.8100
6.5216,-1353.8854,-137.5700,201.4508,-5.2287
6.6206,-1345.1816,-137.8715,201.2758,-5.5212
6.7209,-1336.7905,-138.1851,201.3694,-5.8103
6.8208,-1328.2424,-138.4649,201.2386,-6.0300
6.9199,-1319.6235,-138.6353,201.3312,-6.3513
7.0225,-1309.7971,-138.3174,203.4631,-5.5487
7.1252,-1300.9464,-138.6115,203.4746,-6.0215
7.2232,-1292.8886,-138.9837,204.1571,-6.1941
7.3228,-1283.8748,-139.1340,204.0747,-6.8445
7.4256,-1275.1407,-139.4127,204.0657,-7.1106
7.5226,-1266.0216,-139.6608,204.0737,-7.3614
7.6223,-1257.0676,-140.0321,204.0181,-7.6518
7.7233,-1248.3553,-140.4081,203.9841,-8.3672
7.8241,-1239.7112,-140.6841,203.9391,-9.3216
7.9250,-1230.7318,-141.1077,203.8809,-10.0126
8.0255,-1222.0936,-141.8208,203.9242,-10.3079
